7278	-97180	28514
6488	-97755	25498
7398	-92080	24875
8331	-93493	24995
6536	-96175	17764
7230	-96414	12761
6919	-99957	9074
6775	-95720	11587
6392	-97922	8044
6464	-96175	5865
6943	-100987	2657
8930	-101992	2059
8475	-94427	-3878
2489	-87148	-2633
7685	-98234	-4501
9265	-102423	-6655
8762	-98401	-9504
7876	-93565	-15921
6727	-89088	-18507
8307	-100388	-18698
9241	-101370	-26527
8810	-92847	-28610
6177	-89351	-28491
6033	-95768	-26024
11276	-99766	-25785
11180	-94930	-32632
9050	-88250	-41467
9983	-84898	-42209
8331	-90189	-36942
5865	-95025	-42473
8212	-89782	-51403
6416	-80660	-54563
3280	-79176	-52624
3830	-86239	-49679
4788	-93230	-48865
6033	-82384	-54372
5985	-74483	-57963
4884	-78721	-58394
5243	-89471	-55808
5578	-82480	-59759
2418	-78218	-61411
1867	-73382	-64236
3495	-67995	-63661
4596	-78338	-62632
4453	-81977	-64499
3040	-72376	-69072
4548	-67995	-69838
3495	-70820	-69168
1460	-68450	-69551
3471	-69407	-72783
2896	-70174	-72472
526	-67468	-70676
3878	-66486	-76039
3112	-64834	-78170
1699	-57005	-74459
526	-59998	-76398
2106	-63685	-76494
2825	-62464	-78936
3280	-62153	-78817
4309	-58035	-79104
3423	-55904	-79894
3471	-61411	-80038
3064	-66750	-77572
4477	-62177	-78242
3064	-59136	-78625
4141	-61100	-80325
3184	-58969	-79655
3567	-62297	-79200
1723	-64475	-74316
3375	-64930	-76518
3351	-66463	-77404
3016	-65481	-74890
3519	-65888	-75489
3447	-67971	-74292
4165	-67827	-72424
3711	-69838	-70054
2561	-72161	-66056
1532	-74675	-65218
1053	-74220	-64068
1939	-74579	-64571
3088	-75944	-63398
3351	-76901	-61052
2561	-78266	-54180
3303	-87891	-51810
1771	-83557	-54922
3687	-81546	-56742
2777	-85401	-54539
3184	-89758	-48291
2825	-90189	-39600
1221	-86717	-39001
2705	-89375	-39935
2394	-92416	-42161
4165	-95792	-36367
2705	-97372	-28395
5291	-91793	-26527
3064	-90979	-27940
3734	-93110	-25043
7565	-98784	-22290
8762	-103932	-10606
10366	-97635	-11420
8786	-92727	-10271
9433	-95504	-7805
9864	-100580	-5937
9624	-105057	2106
10031	-98281	861
9672	-92511	718
9935	-93110	1149
11180	-97635	7757
10534	-101466	20925
10893	-97228	19536
9648	-92176	18124
9265	-90141	26647
7661	-89255	30573
8978	-95097	34572
9026	-94618	38762
11635	-90955	38379
10366	-85832	36870
7110	-84132	44077
10127	-87747	45848
10151	-85832	56024
12138	-83701	53486
11085	-79463	52696
11324	-77117	57676
10893	-76446	55138
12473	-72520	56886
11875	-74866	74507
11827	-65385	64308
11300	-59759	62967
14293	-65816	68450
17118	-69431	71203
19488	-68761	75393
21021	-67875	75273
17238	-56527	69312
18555	-52911	69934
21475	-54755	81474
23223	-56838	83174
23678	-57077	78577
25139	-55641	77548
25139	-51355	76997
25187	-44627	77021
28131	-46758	81690
32106	-46782	84204
32154	-47955	79463
32321	-47644	80014
31459	-43047	80732
34284	-40964	79511
37086	-39839	83509
36535	-38738	81450
37493	-38019	82145
39049	-35936	82001
38953	-33231	82983
40126	-32872	83294
40605	-30909	82169
41228	-30214	81522
43023	-29089	81690
46686	-28874	82576
48722	-29281	82935
50565	-28227	83749
49416	-27174	80708
51714	-25498	77596
53223	-23367	77236
55042	-23582	77452
58753	-23894	80014
57700	-23846	76470
58610	-23511	75106
58370	-20518	73430
58538	-22697	72376
62656	-22529	73190
64858	-22457	72951
63901	-20901	69575
64356	-19033	68067
65050	-18986	67708
67420	-21332	67636
69431	-19297	67013
70341	-19464	65146
71083	-19225	63757
73214	-17214	62392
72999	-17549	61100
75561	-17429	59041
80469	-18219	61674
79918	-17501	58849
81881	-16807	58442
80469	-16448	52887
79870	-17717	49248
83174	-17860	50302
85065	-16519	50230
85592	-14556	50062
83988	-12928	47237
84515	-15729	43981
85832	-16567	42066
86622	-14676	41898
88657	-10151	42233
89519	-12401	42018
87436	-13814	38331
88800	-14867	37349
88298	-12521	35506
91626	-13048	37421
91602	-11085	34261
