Timestamp;scop_exciting_gy;scop_exciting_signal
753075;44;-317
754076;44;-316
755078;44;-315
756079;59;-315
757075;74;-316
758076;74;-318
759078;74;-321
760076;90;-324
761089;90;-328
762075;90;-331
763076;74;-333
764078;74;-335
765078;90;-339
766075;74;-341
767076;44;-341
768078;44;-341
769079;44;-340
770076;59;-341
771088;59;-341
772079;44;-340
773075;59;-340
774077;59;-340
775077;44;-338
776079;44;-336
777080;44;-335
778077;44;-334
779077;44;-333
780079;-1;-329
781080;-16;-324
782093;-16;-319
783078;-31;-313
784080;-31;-308
785076;-47;-303
786078;-47;-297
787078;-47;-292
788076;-62;-287
789077;-62;-283
790075;-47;-282
791076;-16;-283
792088;-1;-287
793080;-1;-292
794076;-1;-297
795079;13;-303
796075;44;-312
797077;44;-324
798079;59;-337
799077;44;-351
800078;29;-363
801075;29;-376
802091;29;-389
803080;44;-406
804076;74;-423
805078;90;-442
806080;90;-460
807075;105;-478
808076;90;-495
809077;74;-510
810077;74;-524
811079;74;-537
812150;44;-546
813077;29;-553
814078;29;-557
815079;-1;-559
816075;-1;-558
817077;-31;-557
818078;-77;-551
819080;-123;-540
820075;-154;-528
821077;-184;-514
822077;-215;-499
823089;-215;-484
824079;-215;-472
825076;-230;-458
826076;-230;-446
827078;-230;-433
828080;-215;-424
829076;-215;-415
830077;-215;-409
831079;-230;-406
832079;-245;-405
833139;-230;-408
834076;-199;-415
835077;-199;-424
836078;-184;-436
837079;-184;-451
838076;-169;-467
839076;-154;-486
840078;-123;-507
841079;-92;-531
842076;-62;-555
843093;-47;-582
844092;-62;-607
845077;-92;-631
846079;-108;-653
847079;-123;-676
848076;-123;-698
849077;-108;-722
850079;-92;-746
851079;-108;-771
852076;-138;-792
853090;-169;-812
854092;-169;-831
855078;-154;-853
856075;-154;-874
857076;-184;-894
858080;-199;-910
859076;-215;-927
860079;-230;-942
861075;-245;-955
862078;-245;-965
863080;-260;-971
864261;-260;-966
865075;-276;-943
866077;-291;-909
867079;-306;-867
868076;-306;-826
869079;-291;-785
870080;-276;-748
871077;-260;-710
872078;-230;-678
873079;-215;-648
874162;-199;-624
875077;-215;-599
876078;-230;-577
877080;-199;-560
878077;-169;-552
879079;-138;-553
880079;-92;-561
881076;-47;-574
882076;-16;-591
883078;29;-614
884079;59;-639
885089;74;-666
886079;120;-693
887076;136;-722
888077;151;-751
889079;166;-781
890080;181;-808
891076;197;-833
892077;212;-851
893079;227;-862
894079;242;-865
895093;227;-861
896078;197;-849
897080;151;-831
898075;120;-811
899077;90;-789
900078;44;-764
901080;-16;-735
902076;-62;-705
903077;-92;-672
904078;-92;-641
905088;-138;-607
906078;-184;-571
907075;-199;-533
908077;-169;-499
909078;-184;-464
910079;-199;-429
911076;-169;-395
912077;-123;-367
913078;-77;-342
914079;-31;-322
915088;29;-305
916078;105;-294
917080;136;-286
918076;151;-280
919079;166;-276
920075;212;-278
921077;258;-285
922079;303;-296
923076;349;-312
924078;395;-330
925089;410;-350
926080;410;-369
927077;410;-390
928079;441;-410
929076;471;-433
930077;502;-455
931075;502;-478
932076;456;-496
933079;410;-510
934075;380;-520
935092;365;-530
936077;349;-537
937080;334;-543
938076;273;-545
939077;197;-540
940077;151;-532
941078;136;-523
942079;136;-513
943076;120;-503
944076;105;-491
945090;90;-479
946075;74;-466
947077;44;-451
948078;-1;-435
949080;-16;-416
950076;-16;-400
951077;-16;-383
952078;-31;-368
953080;-16;-352
954076;-1;-339
955090;-1;-326
956076;-1;-314
957077;29;-303
958079;29;-296
959080;29;-288
960076;59;-285
961077;74;-283
962079;90;-283
963079;105;-285
964079;120;-288
965079;151;-294
966090;166;-301
967075;151;-308
968077;136;-313
969078;151;-320
970080;151;-327
971075;151;-334
972077;151;-340
973077;136;-346
974079;136;-350
975075;120;-353
976088;136;-356
977078;151;-361
978075;136;-363
979076;105;-363
980078;59;-359
981078;29;-353
982075;13;-348
983075;13;-343
984077;44;-339
985079;29;-335
986076;-1;-328
987093;-31;-319
988080;-31;-310
989077;-31;-303
990078;-31;-295
991075;-31;-287
992077;-31;-279
993079;-47;-271
994076;-92;-260
995078;-92;-250
996079;-77;-243
997093;-62;-236
998078;-77;-231
999076;-92;-224
1000077;-77;-219
1001080;-77;-214
1002076;-62;-212
1003078;-47;-210
1004078;-16;-210
1005079;-16;-211
1006079;-1;-212
1007091;44;-215
1008077;59;-220
1009079;74;-226
1010079;105;-234
1011076;120;-243
1012076;120;-252
1013078;74;-259
1014079;29;-262
1015075;29;-267
1016076;29;-273
1017091;44;-280
1018077;44;-288
1019078;44;-296
1020079;13;-302
1021076;13;-308
1022077;44;-316
1023078;59;-328
1024079;59;-338
1025076;74;-350
1026076;74;-361
1027091;74;-372
1028077;44;-380
1029078;29;-388
1030079;13;-393
1031075;13;-399
1032076;-1;-404
1033078;-16;-408
1034078;-47;-410
1035080;-47;-411
1036076;-47;-412
1037090;-47;-414
1038075;-77;-414
1039077;-108;-411
1040077;-123;-408
1041080;-138;-405
1042075;-169;-401
1043077;-184;-397
1044078;-184;-392
1045079;-199;-388
1046075;-199;-383
1047090;-199;-380
1048075;-169;-380
1049077;-169;-380
1050078;-184;-378
1051076;-215;-376
1052077;-230;-372
1053080;-215;-369
1054076;-184;-370
1055078;-154;-373
1056075;-138;-377
1057077;-108;-382
1058089;-92;-388
1059080;-77;-394
1060077;-77;-400
1061078;-77;-407
1062075;-47;-413
1063077;-47;-421
1064080;-47;-427
1065076;-47;-434
1066079;-31;-441
1067080;-16;-450
1068089;-16;-458
1069078;-31;-465
1070079;-47;-471
1071079;-31;-478
1072075;13;-487
1073076;29;-499
1074078;59;-510
1075078;120;-526
1076075;151;-544
1077076;151;-561
1078092;120;-576
1079077;105;-588
1080078;136;-600
1081079;151;-612
