Timestamp;scop_pitchspeed;scop_rollspeed;scop_yawspeed
632077;43;-111;94
633078;40;-108;97
634078;40;-105;94
635079;40;-111;97
636077;38;-119;97
637078;35;-121;97
638092;35;-121;89
639076;35;-124;84
640079;40;-124;84
641079;40;-121;86
642076;40;-121;92
643075;32;-116;97
644078;32;-113;100
645078;30;-119;100
646077;27;-121;100
647077;32;-121;100
648078;43;-124;100
649091;51;-124;97
650075;51;-124;89
651078;46;-119;86
652078;43;-116;84
653077;43;-119;78
654080;43;-124;76
655077;40;-127;76
656077;38;-127;78
657078;32;-127;84
658078;30;-124;89
659093;27;-127;92
660076;30;-127;92
661078;30;-121;89
662078;30;-113;89
663077;35;-111;89
664080;35;-113;94
665077;35;-116;100
666077;38;-116;100
667078;40;-116;97
668078;40;-119;94
669092;40;-119;92
670076;40;-111;86
671078;40;-108;81
672078;35;-111;84
673077;35;-111;92
674080;35;-111;102
675077;38;-113;105
676077;38;-116;100
677078;38;-116;94
678078;35;-121;92
679077;30;-124;94
680092;30;-121;94
681076;32;-116;94
682078;40;-111;97
683078;43;-108;100
684077;43;-108;97
685078;40;-111;94
686077;35;-108;92
687077;38;-105;89
688078;43;-100;92
689079;46;-100;92
690114;48;-103;92
691078;43;-105;89
692078;35;-108;86
693079;32;-113;89
694078;35;-121;92
695079;38;-127;92
696077;38;-129;89
697078;43;-129;86
698077;46;-132;86
699078;46;-127;89
700077;43;-121;86
701078;40;-119;84
702091;38;-119;78
703076;43;-116;81
704080;46;-113;86
705079;51;-111;89
706077;56;-113;89
707077;56;-119;89
708076;56;-119;89
709075;56;-113;92
710078;59;-108;89
711078;62;-108;92
712077;62;-108;92
713088;59;-108;92
714075;59;-108;89
715076;59;-108;86
716078;54;-108;86
717078;51;-108;86
718077;51;-108;89
719077;48;-111;89
720078;46;-111;86
721078;46;-111;86
722077;46;-108;86
723077;48;-105;86
724091;51;-103;86
725075;54;-103;86
726078;51;-105;84
727078;54;-111;81
728077;56;-111;81
729077;62;-105;84
730078;62;-98;86
731078;64;-98;86
732077;67;-103;86
733077;70;-103;89
734091;67;-105;94
735075;64;-100;94
736078;62;-98;94
737078;62;-95;94
738077;64;-95;92
739077;67;-100;89
740078;70;-103;86
741078;70;-108;86
742077;72;-111;86
743077;72;-113;86
744091;67;-116;84
745075;64;-111;84
746078;62;-103;86
747078;56;-103;86
748077;56;-103;86
749077;59;-105;86
750078;59;-108;86
751078;62;-113;89
752077;62;-116;92
753077;59;-121;92
754091;56;-121;84
755076;56;-124;78
756079;56;-124;78
757079;59;-119;84
758077;59;-119;86
759078;62;-119;94
760077;62;-124;97
761078;62;-129;97
762077;70;-129;94
763078;72;-121;97
764108;75;-113;97
765076;78;-108;94
766079;72;-111;92
767079;64;-111;89
768077;62;-111;92
769078;59;-111;97
770077;59;-108;97
771078;59;-105;97
772077;62;-105;97
773077;67;-100;97
774078;70;-100;97
775092;70;-105;97
776078;70;-111;100
777077;67;-108;102
778077;62;-108;100
779078;59;-108;97
780078;59;-108;94
781077;59;-108;97
782077;56;-108;100
783078;59;-105;105
784079;64;-105;108
785131;70;-111;108
786077;72;-113;102
787078;70;-116;97
788078;67;-116;97
789077;72;-116;97
790077;78;-111;94
791078;78;-108;97
792078;75;-108;100
793077;72;-108;97
794080;70;-111;94
795077;64;-113;94
796235;59;-119;94
797079;56;-119;92
798077;54;-113;89
799077;48;-113;92
800078;46;-113;92
801078;51;-108;92
802077;54;-103;94
803077;48;-103;97
804078;46;-103;97
805078;46;-103;97
806077;48;-100;100
807092;48;-98;97
808076;51;-98;92
809079;51;-103;84
810078;48;-108;81
811077;46;-113;81
812077;43;-119;84
813078;40;-119;86
814078;38;-113;86
815077;40;-113;84
816077;48;-108;84
817078;54;-108;89
818092;56;-113;94
819076;54;-116;100
820079;51;-119;102
821079;46;-121;105
822077;46;-124;102
823078;51;-121;94
824078;54;-116;92
825079;54;-119;86
826077;51;-119;84
827078;51;-119;86
828092;51;-116;92
829076;48;-116;92
830079;48;-116;89
831079;43;-119;89
832077;43;-121;89
833078;48;-121;92
834078;48;-121;94
835079;48;-121;97
836077;48;-124;97
837078;54;-127;97
838077;56;-124;97
839091;54;-127;100
840075;51;-129;97
841078;51;-129;92
842078;51;-127;94
843077;51;-124;102
844080;54;-121;102
845077;54;-113;102
846077;51;-111;105
847078;48;-113;105
848078;43;-116;102
849092;40;-119;97
850076;40;-121;94
851078;43;-121;92
852078;43;-121;97
853077;46;-127;97
854080;46;-132;92
855077;46;-132;89
856077;43;-132;89
857078;43;-132;86
858078;43;-132;86
859091;43;-135;86
860075;46;-143;84
861078;51;-148;86
862078;59;-145;89
863077;62;-137;92
864080;56;-129;92
865077;56;-124;94
866077;56;-119;97
867078;59;-113;97
868078;62;-108;100
869226;62;-111;100
870075;62;-119;102
871078;56;-124;102
872078;56;-121;102
873077;56;-124;102
874080;54;-124;100
875077;46;-124;100
876077;38;-121;94
877078;35;-121;89
878078;43;-124;89
879097;51;-127;89
880080;59;-135;89
881077;64;-140;89
882077;62;-135;89
883078;54;-129;86
884078;51;-124;78
885077;62;-121;81
886078;67;-116;84
887077;62;-113;89
888078;54;-113;94
889077;48;-113;100
890091;46;-113;102
891077;46;-116;100
892079;48;-127;94
893079;51;-129;94
894078;46;-129;92
895079;43;-129;86
896077;48;-127;89
897078;54;-124;94
898077;51;-127;100
899078;51;-129;102
900089;48;-124;100
901079;46;-121;97
902078;43;-119;97
903079;43;-116;100
904077;43;-119;97
905076;43;-121;94
906077;46;-121;94
907077;51;-124;92
908077;56;-124;92
909077;59;-121;92
910078;59;-119;97
911078;64;-119;102
912089;67;-119;105
913079;64;-121;105
914077;56;-121;102
915078;48;-121;100
916077;48;-116;94
917077;48;-113;94
918078;51;-113;97
919078;54;-111;94
920077;56;-105;86
921077;62;-105;84
922093;64;-111;86
923078;62;-116;89
924077;56;-116;89
925077;56;-116;86
926076;56;-119;86
927077;56;-121;86
928078;56;-124;89
929078;56;-121;97
930077;48;-113;100
931077;43;-111;102
932092;43;-111;102
933078;46;-116;100
934077;48;-119;94
935077;51;-116;97
936077;51;-111;97
937077;51;-103;97
938078;54;-100;94
939078;59;-100;94
940077;56;-103;97
941077;56;-105;94
942090;56;-108;94
943080;59;-108;92
944078;59;-108;86
945078;59;-108;84
946077;59;-111;86
947077;56;-113;94
948078;56;-116;100
949078;54;-119;97
950077;51;-116;89
951078;48;-119;89
952091;48;-121;89
953076;51;-121;84
954079;51;-119;84
955079;56;-119;84
956077;59;-116;86
957078;62;-111;86
958077;67;-105;84
959078;67;-108;86
960077;64;-108;89
961078;62;-108;92
962077;62;-108;92
963089;64;-108;92
964078;62;-103;94
965078;59;-100;94
966079;56;-100;92
967077;59;-103;92
968078;62;-113;94
969077;70;-116;97
970076;72;-113;100
971077;67;-108;100
972077;62;-108;100
973089;62;-105;94
974077;59;-103;92
975077;59;-98;89
976077;56;-98;89
977078;56;-100;92
978078;56;-100;94
979077;59;-103;92
980077;59;-103;94
981078;62;-108;97
982078;64;-108;100
983091;67;-108;100
984078;70;-105;97
985077;78;-108;92
986077;78;-108;92
987078;72;-108;94
988078;64;-105;94
989077;59;-103;92
990077;56;-103;92
991078;56;-105;92
992078;56;-103;94
993088;59;-100;92
994077;62;-103;92
995078;62;-105;92
996078;62;-103;92
997077;62;-100;92
998077;62;-95;89
999078;64;-95;89
1000078;70;-103;89
1001077;72;-108;92
1002077;72;-108;92
