Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
199077;10387;18380;-2922;-6037;-198;-1988
200078;-4464;7399;1408;-2521;2059;1415
201078;-13490;-13134;3366;3620;1675;3046
202075;-4405;-15974;0;4054;-785;818
203075;11100;2681;-4171;-1536;-2145;-2423
204077;12499;18141;-3178;-5251;-667;-2493
205077;-2525;9729;2549;-1395;1572;568
206079;-14980;-12161;6282;5667;1531;2663
207079;-9238;-19570;3311;6795;-695;1105
208088;7262;-2745;-2901;36;-2250;-2122
209079;13821;17279;-4919;-6472;-1216;-2943
210080;2536;15115;-669;-4753;1110;-241
211076;-12012;-6641;4215;2946;1835;2630
212077;-11300;-20281;3800;7104;74;2020
213079;3346;-8512;-906;2780;-1846;-1256
214079;12515;13144;-3684;-4396;-1338;-2883
215075;4319;16757;-1145;-5434;954;-741
216076;-10020;-1743;2846;415;2018;2366
217078;-11125;-17666;2344;4839;496;2451
218094;2986;-9908;-2477;1694;-1652;-606
219080;13957;11367;-5325;-4840;-1630;-2851
220080;7080;18087;-2158;-5912;616;-1301
221076;-9143;1140;3270;203;2167;2033
222077;-13691;-17462;4014;5609;1006;2837
223078;-438;-13311;-1110;3009;-1275;161
224078;13628;8420;-5759;-4543;-1673;-2479
225080;10569;19804;-4032;-7325;279;-1728
226080;-5365;6318;1931;-1539;1982;1351
227076;-13623;-14668;4830;5789;1165;2705
228076;-3889;-16345;1614;5855;-1235;473
229093;10855;3096;-3150;-1089;-2131;-2459
230077;11387;18357;-3471;-6315;-203;-2123
231079;-2764;9925;649;-3529;2105;1105
232080;-12802;-10756;3419;3230;1780;2994
233076;-5272;-16425;926;4967;-702;1128
234076;10150;284;-3455;-346;-2146;-2084
235077;13090;17208;-3356;-5094;-814;-2599
236078;-921;11678;1820;-2405;1472;154
237079;-14229;-9594;5626;4417;1750;2602
238079;-9495;-18787;2977;6275;-316;1595
239093;7589;-3399;-3085;322;-2018;-1519
240077;15150;16859;-5131;-6104;-1036;-2580
241079;3463;15613;-596;-4657;1399;-168
242080;-12338;-5678;4938;3166;2044;2481
243076;-11953;-19536;4744;7662;-16;1825
244077;3763;-8179;-608;3238;-2158;-1328
245079;14176;13479;-4239;-4523;-1552;-2803
246080;5901;17395;-1915;-6073;1121;-542
247077;-9893;-1164;2666;-62;2421;2539
248078;-12195;-17579;3025;5230;678;2412
249089;2169;-10274;-1405;2897;-1820;-763
250079;14170;10879;-4450;-3558;-1882;-2898
251076;7695;17757;-1437;-5008;453;-1303
252077;-9145;1043;4119;798;2096;1902
253079;-14537;-17532;4844;6054;960;2587
254080;-1312;-13500;-566;3471;-1519;-200
255077;13637;8273;-5477;-3977;-2212;-2942
256078;11144;19655;-3806;-6800;-232;-2076
257075;-5466;5769;2397;-1100;1755;1203
258076;-14752;-15553;5586;6258;1089;2558
259088;-5005;-16873;2122;6156;-1276;303
260079;10734;3280;-3292;-1170;-2124;-2484
261075;12021;18763;-3811;-6451;-209;-2022
262075;-2451;9769;627;-3431;2130;1249
263076;-13495;-11692;3561;3297;1956;3173
264076;-6478;-17455;972;4833;-546;1177
265077;9441;-37;-3490;-466;-2223;-2268
266078;13110;17450;-3518;-5157;-957;-2744
267080;-694;11755;1505;-2571;1434;227
268080;-14226;-9939;5283;4089;1723;2676
269214;-9972;-19444;2501;5655;-325;1560
270076;6909;-3925;-4136;-901;-1916;-1532
271077;15604;17668;-6999;-8054;-982;-2590
272078;5830;18305;-2870;-6900;1290;-227
273079;-9801;-3094;3229;1571;1994;2527
274075;-11749;-19747;4322;7414;161;2053
275075;1788;-10822;-149;3855;-1922;-1129
276076;12535;11590;-3969;-4256;-1544;-2885
277077;6197;18298;-2257;-6628;890;-839
278078;-8585;1073;2132;-818;2360;2506
279079;-11854;-17073;2766;5007;1105;2970
280088;1007;-12383;-1171;3426;-1274;-99
281078;12935;8597;-3755;-2598;-1819;-2891
282080;7698;17914;-609;-4222;67;-1910
283075;-8453;3030;4928;1310;1725;1378
284076;-14608;-16689;5851;6866;848;2588
285076;-2474;-15315;502;4694;-1330;267
286078;12589;5708;-4926;-3129;-1798;-2379
287078;11495;19494;-3950;-6925;195;-1790
288080;-4054;8425;1982;-1852;2150;1329
289080;-14123;-13361;5456;5829;1552;2942
290076;-6113;-18085;2597;6775;-921;861
291092;9297;64;-2627;-37;-2149;-2289
292078;12064;17509;-3859;-6285;-491;-2365
293079;-1230;11860;-123;-4563;1911;750
294079;-12942;-9089;3128;2312;1955;3018
295075;-7444;-17730;1303;5156;-351;1549
296076;8160;-2908;-2945;681;-2070;-1805
297077;13148;15542;-3292;-4431;-1088;-2815
298078;396;12973;1381;-2925;1272;-216
299080;-13909;-7553;5152;3245;1911;2591
300080;-10911;-18926;2803;5622;-47;1922
301076;6128;-5633;-3312;413;-2050;-1342
302092;15450;15347;-5874;-6139;-1439;-2909
303077;4966;16572;-1531;-5370;938;-801
304078;-11905;-3875;4503;2226;1901;2136
305078;-13615;-19713;4802;7143;217;2107
306080;1707;-10531;-736;3154;-1901;-805
307080;14083;11752;-5010;-4730;-1629;-2726
308076;7728;18404;-3031;-6825;852;-983
309077;-8623;1145;2031;-954;2362;2185
310079;-13333;-17219;3411;5130;854;2545
311080;-308;-12779;-418;3835;-1793;-472
312091;12986;8171;-3875;-2526;-2232;-3018
313078;8756;17802;-1739;-4962;-2;-1863
314079;-7629;3405;3462;-102;1977;1481
315076;-14743;-16100;4555;5218;1250;2776
316077;-3031;-14910;-392;3487;-1185;379
317079;12663;5870;-5293;-3349;-2152;-2592
318080;12186;19375;-3902;-6389;-343;-2220
319076;-3919;7807;2348;-1188;1780;909
320077;-15093;-14249;6055;6221;1290;2549
