Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
271078;248;311;-267;-717;502;553
272080;519;568;-1036;-1070;675;678
273091;570;566;-925;-878;546;501
274078;367;307;-379;-267;194;125
275079;15;-62;-29;431;-206;-262
276080;-299;-343;806;860;-470;-485
277079;-414;-396;889;800;-473;-446
278075;-269;-210;668;274;-210;-157
279076;58;117;35;-464;194;250
280078;405;434;-986;-1053;544;581
281078;598;594;-1165;-1196;657;659
282075;544;520;-1118;-812;458;417
283090;274;239;-193;-79;36;-35
284079;-78;-119;560;654;-395;-464
285079;-351;-386;841;1047;-618;-641
286075;-425;-434;1055;924;-522;-480
287076;-267;-234;761;363;-163;-79
288078;67;132;-234;-345;278;353
289079;433;494;-546;-838;584;605
290075;648;668;-892;-857;600;562
291076;593;558;-735;-379;312;243
292078;291;221;241;365;-130;-191
293089;-106;-170;926;1013;-492;-520
294079;-400;-423;1238;1244;-588;-577
295079;-449;-425;1195;944;-383;-339
296075;-239;-186;737;261;10;70
297080;117;169;-7;-481;403;455
298079;441;471;-903;-943;615;632
299078;579;579;-996;-922;547;519
300080;471;443;-531;-440;236;172
301078;176;129;-198;265;-168;-234
302080;-160;-206;767;838;-471;-503
303224;-368;-371;976;977;-530;-512
304075;-306;-287;679;604;-313;-257
305075;-9;49;381;-85;84;148
306077;376;446;-629;-728;483;526
307077;644;681;-854;-986;692;699
308079;653;630;-797;-726;606;576
309078;406;335;-538;-75;266;209
310080;32;-39;543;654;-159;-220
311078;-286;-314;858;1122;-466;-502
312080;-404;-382;1160;1119;-514;-504
313090;-278;-230;739;644;-290;-234
314089;34;77;2;-101;96;167
315075;389;416;-719;-796;453;500
316076;623;637;-967;-1120;597;594
317077;623;621;-967;-923;448;398
318077;394;365;-729;-317;75;7
319079;55;0;259;369;-339;-391
320078;-221;-274;534;776;-599;-614
321080;-305;-315;729;695;-585;-559
322078;-163;-115;554;168;-309;-256
323080;128;203;-417;-542;90;147
