Timestamp;scop_gx;scop_gy;scop_gz
494000;-32;-159;-34
495000;-112;-134;70
496000;-22;0;10
497000;-12;-24;-109
498000;-72;60;-29
499000;-22;0;55
500000;-22;-59;65
501000;-57;-94;15
502000;2;-4;-44
503000;32;-59;-9
504000;-117;-244;-99
505000;-62;-74;-149
506000;-47;80;25
507000;-17;-49;-4
508000;17;-4;-74
509000;-17;115;-14
510000;7;55;30
511000;7;40;40
512000;2;30;0
513000;72;-49;-84
514000;-62;-134;-119
515000;-97;-39;-124
516000;-72;80;-134
517000;-192;0;-104
518000;-192;5;-64
519000;37;15;-99
520000;57;-14;-79
521000;-87;-94;20
522000;-122;-89;85
523000;27;-89;10
524000;67;-49;-59
525000;2;75;-24
526000;32;65;80
527000;12;-49;5
528000;-92;-34;-39
529000;22;-9;35
530000;132;-59;-9
531000;32;-74;-49
532000;17;-84;-84
533000;-12;-54;-89
534000;-77;-79;-54
535000;97;-19;-79
536000;-32;45;-84
537000;-17;0;45
538000;97;120;10
539000;87;155;15
540000;12;130;50
541000;-97;95;70
542000;-157;-109;-24
543000;-57;-84;-49
544000;22;-34;-89
545000;-22;0;-4
546000;-157;55;0
547000;12;80;-89
548000;-22;-39;-114
549000;-47;-4;-24
550000;-47;25;30
551000;62;35;75
552000;42;-9;0
553000;-142;-94;-49
554000;-232;-34;0
555000;-57;-54;-64
556000;37;-9;-29
557000;-132;-4;0
558000;-102;-14;-9
559000;37;-99;-54
560000;-27;-24;0
561000;47;50;50
562000;-42;-34;40
563000;2;-229;-84
564000;-32;-49;-69
565000;-157;80;-24
566000;-57;65;-14
567000;-62;-94;-4
568000;-97;-19;-79
569000;47;0;-74
570000;-72;60;-54
571000;-67;50;5
572000;27;50;40
573000;-52;60;25
574000;-97;-84;-69
575000;-92;-114;-79
576000;-137;-84;-79
577000;-167;-84;30
578000;-197;85;40
579000;37;20;60
580000;62;-14;15
581000;-72;20;-49
582000;-72;20;-49
583000;2;-34;65
584000;22;-109;-34
585000;52;25;-4
586000;-27;40;30
587000;-7;20;-59
588000;-107;-74;-64
589000;-82;-49;-39
590000;-82;-14;-39
591000;-152;-104;-54
592000;-37;50;-79
593000;-117;-54;-39
594000;-107;-144;-134
595000;12;-14;-79
596000;-17;95;20
597000;42;70;115
598000;-32;-34;55
599000;-42;-9;-134
600000;172;145;-59
601000;92;215;60
602000;-12;110;35
603000;47;-19;90
604000;-12;-74;-4
605000;-32;-9;-44
606000;-67;60;0
607000;-97;-14;10
608000;-87;-84;-14
609000;2;-34;-44
610000;-2;-159;10
611000;-42;-164;-59
612000;-67;25;20
613000;-67;130;65
614000;2;80;25
615000;2;80;25
616000;-62;-14;-29
617000;-12;-169;-14
618000;-117;-219;-39
619000;-47;-74;-104
620000;127;-109;-174
621000;172;50;-54
622000;37;45;25
623000;47;25;60
624000;97;70;-29
625000;-22;-9;-4
626000;27;-89;-14
627000;27;-49;-74
628000;42;0;20
629000;-32;0;-24
630000;-32;-39;-79
631000;12;-74;-64
632000;112;5;-44
633000;62;60;20
634000;12;0;90
635000;67;-19;-19
636000;7;-49;-54
637000;-47;-179;-79
638000;12;-89;-89
639000;62;-94;55
640000;-7;-119;45
641000;12;30;-49
642000;112;85;-34
643000;-72;-109;-49
644000;-22;-74;-19
645000;42;120;10
646000;-22;0;-59
647000;-32;-159;-89
648000;-12;-144;-19
649000;-32;-9;0
650000;-102;85;-69
651000;22;5;0
652000;27;-34;-19
653000;-17;50;20
654000;-182;55;-44
655000;-72;-34;25
656000;12;-119;5
657000;-47;-109;-104
658000;-67;-89;-129
659000;37;0;-14
660000;72;105;60
661000;-62;110;-49
662000;2;-34;-14
663000;-7;-129;-14
664000;-62;5;-84
665000;-152;95;-24
666000;-57;125;15
667000;-22;-19;-59
668000;-112;5;-109
669000;32;50;-19
670000;-22;-154;25
671000;27;-74;-54
672000;12;20;-189
673000;-112;-29;-184
674000;-187;-59;115
675000;-12;-19;0
676000;7;-34;-44
677000;87;0;50
678000;107;40;20
679000;72;-19;25
680000;-32;-104;-14
681000;-32;-104;-14
682000;22;0;-54
683000;132;90;50
684000;22;40;105
685000;-107;-139;-14
686000;-57;-179;-104
687000;-67;-54;5
688000;-32;-24;45
689000;42;125;-19
690000;-177;20;-84
691000;-107;-114;-19
692000;-47;-74;65
693000;-47;0;-29
694000;27;20;-64
695000;62;60;-4
696000;72;90;60
697000;-42;75;75
698000;17;30;-39
699000;-67;-19;25
700000;-67;-39;120
701000;-32;-9;-24
702000;-117;70;-49
703000;2;95;40
704000;42;-84;60
705000;87;-39;25
706000;87;85;-4
707000;-112;25;50
708000;-152;-74;-114
709000;-77;95;-54
710000;32;85;-64
